INSTITUTION,AVERAGE EARNINGS,DEGREE
COLORADO SCHOOL OF MINES,84079.83642,BACHELORS
UNIV OF TEXAS HEALTH SCIENCE CENTER,71251.80952,BACHELORS
UNIV OF TEXAS MEDICAL BRANCH,69421.96875,BACHELORS
UT HEALTH CENTER-SAN ANTONIO,65411.98485,BACHELORS
UNIV OF TEXAS SOUTHWESTERN MED CTR,63203.93939,BACHELORS
UNIV OF TX MD ANDERSON CANCER CTR,62604.27273,BACHELORS
UNIVERSITY OF TEXAS-AUSTIN,60645.90947,BACHELORS
COLORADO STATE UNIVERSITY - GLOBAL CAMPU,54912.13889,BACHELORS
UNIVERSITY OF TEXAS-ARLINGTON,53604.84131,BACHELORS
UNIVERSITY OF TEXAS AT DALLAS,52285.57168,BACHELORS
UNIVERSITY OF TEXAS-EL PASO,49833.58689,BACHELORS
UNIVERSITY OF COLORADO-BOULDER,49643.60475,BACHELORS
UNIVERSITY OF TEXAS - PAN AMERICAN,49594.0268,BACHELORS
UNIVERSITY OF TEXAS-SAN ANTONIO,49364.46197,BACHELORS
UNIVERSITY OF TEXAS AT TYLER,49162.91718,BACHELORS
UNIVERSITY OF COLORADO DENVER,47334.19141,BACHELORS
UNIVERSITY OF TEXAS-PERMIAN BASIN,47108.04623,BACHELORS
UNIV OF COLORADO AT COLO SPRINGS,45160.71795,BACHELORS
METROPOLITAN STATE UNIVERSITY OF DENVER,44844.5409,BACHELORS
COLORADO STATE UNIVERSITY,44728.04882,BACHELORS
UNIVERSITY OF TEXAS - BROWNSVILLE,44295.40873,BACHELORS
COLORADO MESA UNIVERSITY,41188.48667,BACHELORS
COLORADO STATE UNIVERSITY-PUEBLO,41169.71739,BACHELORS
UNIVERSITY OF NORTHERN COLORADO,39033.50547,BACHELORS
ADAMS STATE COLLEGE,38073.20202,BACHELORS
FORT LEWIS COLLEGE,37970.77708,BACHELORS
WESTERN STATE COLORADO UNIVERSITY,37764.37669,BACHELORS
COLORADO MOUNTAIN COLLEGE,29741,BACHELORS
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
UNIV OF TEXAS MEDICAL BRANCH,"$93,526.72 ",DOCTORAL
UNIVERSITY OF TEXAS AT DALLAS,"$92,992.30 ",DOCTORAL
UNIVERSITY OF TEXAS-AUSTIN,"$90,572.86 ",DOCTORAL
UNIVERSITY OF TEXAS-SAN ANTONIO,"$79,470.17 ",DOCTORAL
UNIVERSITY OF TEXAS-EL PASO,"$78,547.06 ",DOCTORAL
COLORADO STATE UNIVERSITY,"$77,315.31 ",DOCTORAL
UNIVERSITY OF COLORADO-BOULDER,"$74,069.90 ",DOCTORAL
UNIVERSITY OF NORTHERN COLORADO,"$67,152.91 ",DOCTORAL
