INSTITUTION,AVERAGE EARNINGS,DEGREE
COLORADO SCHOOL OF MINES,105984.8571,DOCTORAL
UT HEALTH CENTER-SAN ANTONIO,105270.8841,DOCTORAL
UNIV OF TEXAS HEALTH SCIENCE CENTER,104768.3472,DOCTORAL
UNIVERSITY OF TEXAS - PAN AMERICAN,99272.33333,DOCTORAL
UNIVERSITY OF COLORADO DENVER,98400.5,DOCTORAL
UNIVERSITY OF TEXAS-ARLINGTON,95491.07246,DOCTORAL
UNIV OF TEXAS SOUTHWESTERN MED CTR,93592.44444,DOCTORAL
UNIV OF TEXAS MEDICAL BRANCH,93526.72222,DOCTORAL
UNIVERSITY OF TEXAS AT DALLAS,92992.30208,DOCTORAL
UNIVERSITY OF TEXAS-AUSTIN,90572.86486,DOCTORAL
UNIVERSITY OF TEXAS-SAN ANTONIO,79470.16667,DOCTORAL
UNIVERSITY OF TEXAS-EL PASO,78547.06061,DOCTORAL
COLORADO STATE UNIVERSITY,77315.31111,DOCTORAL
UNIVERSITY OF COLORADO-BOULDER,74069.89683,DOCTORAL
UNIVERSITY OF NORTHERN COLORADO,67152.91304,DOCTORAL
