State,Program,College/University,Years Post Grad,Cohort,Average Earnings
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$329,249.00 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$281,868.67 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,"$267,413.33 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,"$261,703.33 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,"$224,510.00 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$193,089.67 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$187,258.67 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$186,229.00 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,"$184,320.33 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$175,514.00 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,"$165,989.33 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$153,851.33 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2001,"$149,085.67 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$138,854.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$136,081.00 "
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$130,007.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$129,976.67 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$129,038.33 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,"$127,075.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$126,409.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$126,382.33 "
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$125,048.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,"$123,033.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,10,2001,"$122,593.67 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,10,2004,"$122,222.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$121,860.67 "
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$120,547.00 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$120,343.33 "
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$118,705.33 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,"$118,288.00 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$118,253.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$117,945.67 "
CO,ECONOMICS,COLORADO SCHOOL OF MINES,10,1998,"$116,848.33 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2010,"$116,772.67 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$116,765.00 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,"$116,069.33 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,1998,"$115,973.33 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$115,690.67 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$115,193.67 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$115,158.00 "
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,10,2004,"$114,407.00 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$113,861.00 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2001,"$113,339.00 "
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$113,257.00 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$113,197.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$112,724.33 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$112,237.67 "
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$111,998.33 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$111,863.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,2001,"$111,857.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,"$110,933.67 "
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$110,728.33 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,"$110,605.00 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$110,180.33 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$108,878.67 "
