state,TX,,,,,,,,,,,,
deglevl,Doctoral,,,,Masters,,,,,Bachelors ,,,
,,,,,,,,,,,,,
Average of average earnings,Column Labels,,,,,,,,,,,,
Row Labels,2001,2011,Grand Total,,Row Labels,2001,2011,Grand Total,,Row Labels,2001,2013,Grand Total
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",93801,,-93801,,ARCHITECTURE AND RELATED SERVICES,53931.16667,35783.16667,-18148,,ACCOUNTING AND RELATED SERVICES,"$59,598.21","$57,570.28","-$2,027.93"
BIOLOGICAL AND BIOMEDICAL SCIENCES,52740.76852,48966.92857,-3773.839947,,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",78096.33333,65521,-12575.33333,,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING","$62,354.03","$69,000.75","$6,646.72"
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",42554.77778,38115.2,-4439.577778,,BIOLOGICAL AND BIOMEDICAL SCIENCES,51118.63043,47154.05556,-3964.574879,,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS","$58,480.75","$49,729.71","-$8,751.04"
COMMUNICATION DISORDERS SCIENCES AND SERVICES,,92254.5,92254.5,,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",62614.44444,49511.61111,-13102.83333,,ANTHROPOLOGY,"$49,087.29","$36,885.29","-$12,202.00"
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",33926,38311,4385,,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",57040.58333,55155.5,-1885.083333,,APPAREL AND TEXTILES,"$85,646.17","$152,177.00","$66,530.83"
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,46110.85714,50677.5,4566.642857,,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,43750.75,37582.5,-6168.25,,ARCHITECTURAL ENGINEERING,"$86,111.67","$92,037.00","$5,925.33"
DENTISTRY,56057.5,66651.5,10594,,EDUCATION,43286.34722,60619.70833,17333.36111,,ARCHITECTURE,"$78,672.78","$95,857.50","$17,184.72"
EDUCATION,41092.14815,40029.83333,-1062.314815,,ENGINEERING,38291.14815,38168.80952,-122.3386243,,AREA STUDIES,"$72,037.79","$114,596.00","$42,558.21"
ENGINEERING,44937.97222,40333.46667,-4604.505556,,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,34383,48560.08333,14177.08333,,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY","$64,115.94","$73,566.11","$9,450.17"
ENGLISH LANGUAGE AND LITERATURE/LETTERS,40846.38889,40100.66667,-745.7222222,,ENGLISH LANGUAGE AND LITERATURE/LETTERS,54353.97778,46754.66667,-7599.311111,,"BIOLOGY, GENERAL","$70,440.40","$100,763.67","$30,323.27"
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",44300.5,43283.16667,-1017.333333,,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",49114.55556,39007.66667,-10106.88889,,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS","$63,427.25","$66,708.63","$3,281.38"
HEALTH PROFESSIONS AND RELATED PROGRAMS,66765.5,58128.46667,-8637.033333,,HEALTH PROFESSIONS AND RELATED PROGRAMS,59978.43333,56640.4,-3338.033333,,"BUSINESS/COMMERCE, GENERAL","$52,005.67","$51,180.63",-$825.04
HISTORY,41030.22222,37988.16667,-3042.055556,,HISTORY,41190.10256,32569.83333,-8620.269231,,BUSINESS/MANAGERIAL ECONOMICS,"$68,024.00","$68,367.08",$343.08
LAW,77925,62162,-15763,,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES",48967.11111,34179.33333,-14787.77778,,CHEMICAL ENGINEERING,"$62,589.67","$59,874.50","-$2,715.17"
"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",33716.93333,30228,-3488.933333,,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",39021.44444,32992.66667,-6028.777778,,CHEMISTRY,"$58,495.69","$70,271.67","$11,775.98"
MATHEMATICS AND STATISTICS,56682.66667,39550,-17132.66667,,LIBRARY SCIENCE,44356.33333,37896,-6460.333333,,CIVIL ENGINEERING,"$67,427.58","$47,198.50","-$20,229.08"
MEDICINE,102969.4167,48910.5,-54058.91667,,MATHEMATICS AND STATISTICS,51470.75,38745,-12725.75,,"CLASSICS AND CLASSICAL LANGUAGES, LITERATURES, AND LINGUISTICS","$41,616.81","$23,515.67","-$18,101.14"
MULTI/INTERDISCIPLINARY STUDIES,67646,,-67646,,MULTI/INTERDISCIPLINARY STUDIES,47324.87037,36699.2,-10625.67037,,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,"$33,523.39","$54,702.42","$21,179.03"
NATURAL RESOURCES AND CONSERVATION,,32107,32107,,NATURAL RESOURCES AND CONSERVATION,55616,51382,-4234,,COMMUNICATION AND MEDIA STUDIES,"$54,389.74","$54,715.50",$325.76
"PHARMACY, PHARMACEUTICAL SCIENCES, AND ADMINISTRATION",103342.6667,96651,-6691.666667,,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES",57623.44444,34551.26667,-23072.17778,,COMMUNICATION DISORDERS SCIENCES AND SERVICES,"$54,455.06","$44,624.50","-$9,830.56"
PHYSICAL SCIENCES,59598.96296,47362.33333,-12236.62963,,PHYSICAL SCIENCES,45757.33333,30749.42857,-15007.90476,,"COMPUTER AND INFORMATION SCIENCES, GENERAL","$73,169.71","$66,736.50","-$6,433.21"
