State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,329249
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,281868
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,267413
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,2001,261703
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,224510
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,193089
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,187258
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,186229
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,184320
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,175514
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,165989
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,153851
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,5,2001,149085
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,138854
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,136081
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,130007
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,129976
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,129038
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,127075
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2004,126409
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,126382
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,125048
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,123033
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,10,2001,122593
